Predicted Labels,Review
OR,The place is very narrow; I can say it's the worst starbucks I've ever seen.
CG,It was a pleasant snack; a refreshing drink in hot weather.
CG,"The view is super, the cleanliness is bad, the location is very good"
CG,The place is so sweet. but it gets too crowded in the evenings.
CG,Familiar coffee that I taste
CG,Had to stop by for a take out coffee during the morning hours.
CG,Employees are very warm. in a very pleasant location.
CG,The employees are very good and caring. Best Starbucks..
CG,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.
OR,A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.
CG,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.
CG,It is a very nice place to watch the matches; when it is closed in winter.
CG,A pleasant place with a beach; delicious food
CG,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.
OR,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.
CG,We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; Greece where we came from.
CG,It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on Bodrum Beach. The service is top notch and leaves nothing to be desired.
CG,Seaside; pleasant place; mediocre food; owners concerned.
CG,Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.
CG,Nice place with a view. Not bad in terms of food but ordinary.
CG,A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.
OR,It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.
CG,It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.
CG,Good salep was good; the employees were smiling..
CG,Food was tasteless. The waiters were not smiling at all.
CG,We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.
CG,A large spacious place. If you want; you can relax inside and have something to drink.
CG,Location is nice. We love it as a family. Pizza was delicious.
CG,Stylish; decent and clean place. I advise.
CG,In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed
CG,I think it came with a change in taste with the price update.
CG,It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.
CG,A delicious doner.
CG,the ambiance was nice.
CG,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.
CG,Awesomeee
CG,"Delicious doner. I went there with my friend, that was she's first. She liked too."
CG,"Nice place, good price; good quality"
CG,Delicious!
CG,It was one of the best doner I've ever eaten in my life. Thank you very much.
CG,There were problems with cleaning. Chefs must wear gloves.
CG,The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.
CG,We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.
CG,The cafe was cheap enough; I ate with my family.
CG,We ordered breakfast; the table was full. It was truly fascinating. I advise.
CG,The indoor atmosphere was nice; but I can't say the same for the outdoor
CG,We were very satisfied from the staff to the meal.
CG,Ambiance was good.
CG,Clean business; I liked it.
CG,They didn't care about us when we went.
CG,The restaurant is well located and above all it is nicely decorated and clean.
CG,Good quality drinks and food.
CG,Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..
CG,Employees are kind. Food is delicious
CG,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.
CG,One of my favorite places in Konya in terms of service; hygiene and taste.
CG,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.
CG,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.
OR,I had heard that meatloaf was good; but the taste was not that praiseworthy.
CG,The food is delicious; but the portions are very small and the prices are so high.
CG,Waiters were better than Meram branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.
CG,Prices are high; even for the yogurt we didn't order; we were charged.
CG,Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.
CG,The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.
CG,"Atmosphere of the restourant was amazing, I felt times that I in Korea"
CG,The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.
CG,We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.
OR,It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.
CG,Kimbap wasn't for me; it's a tough flavor.
CG,I don't know much about Korean cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.
CG,I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.
CG,foods are good. but the environment and service is not a full korean experience.
CG,Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.
CG,A nice place where you can taste examples of Korean cuisine. The closest taste to Turkish cuisine on the menu. Traditional chicken. Prices are very reasonable.
CG,The flavor that I ate as a child is here; but there were many queues; as in all parts of Istanbul.
OR,Patso starts from 50tl. It comes with lots of potatoes in the bread wrapped in paper; dipped in ketchup or mayonnaise according to your needs. You have to eat standing up. It does not have a special flavor; but it is satisfying
CG,There was no place to sit and eat; we ate standing. It tasted good.
CG,I have never eaten such a delicious patso until now. Recommended guys. And I went again and I will continue to go again.
OR,I ate the big patso with sausage and cheddar; the potatoes are absolutely incomparable with the frozen flavorless potatoes of many places today. It is a perfect form of sausage bread; potatoes and cheddar blended with sauce; and it is satisfying.
CG,We ate the classic patso burger. In other words; french fries between fresh sandwich bread; ketchup mayonnaise on top. It tasted very good. No seating; we went to the park right next door and ate there.
CG,Prices are not real; we thought it was a camera joke.
CG,"It was very crowded, We wait while we're hungry!"
CG,Crispy on the outside; soft on the inside. It's always hot; it's a little crowded; there's no place to sit.
CG,I tried the large patso with sausage and cheddar. It was delicious and fresh. You can try.
CG,Great patso!
CG,160-year-old Vefa Bozacisi has not lost its flavor. We can find filled bottles in many places; but it's different to come here and drink. It's definitely fresher to drink on the spot.Vefa Bozacısı
CG,It was very nice to taste the boza in the historical place. Way better than other bozas.
CG,A historical place intertwined with history. The business is clean and tidy. The staff is very caring.
CG,Boza's are beautiful. The ones on sale are also freshly filled and prepared. It looks clean; but I don't know the exact details.
OR,Same taste for years. Its historical texture is another beautiful place.
CG,The taste is very good; and you can buy some roasted chickpeas; and it will be very high. Employees should be smiling.
CG,The number of tables is very small; but no problem; the taste was very good.
CG,Perfect!
OR,I don't understand what kind of business it is to sell boza in a foam glass. Offering chickpeas is a tradition next to the spoiler; but in Vefa you have to go and buy it yourself from the shop on the opposite side.
CG,Vefa Bozacisi must be the most beautiful place that comes to mind when Boza is mentioned. The groceries are quite affordable.
OR,It is a flavor that can be tried when you go to Istanbul.
CG,It is not p/p. Doner came cold and that's why it was hard.
CG,Eating with this view... It was legendary!
CG,There is a place to eat fish and bread across the beautiful place. If the weather is nice; we go to this doner shop; if not there. You can try.
CG,They deserve the stars more than enough for their service; hygiene and view; but if we talk about the food; I can say that it was the most delicious in a one-week Istanbul trip without exaggeration.
OR,Different from the price on the menu Price has been applied doner is dry and hard.
CG,A taste that hasn't changed for years with its legendary view and taste!
CG,You can go even for the view... The interest is very beautiful.. Those who want to eat meat (Halal food) should definitely stop by..
CG,We finished Iskender and Doner Burger with difficulty two weeks ago; we couldn't start the dessert part because there was no appetite for tail fat.
CG,Great.
CG,Ambiance was amazing!
CG,I think they make very good doner kebabs. We did not have any problems with the service. We parted happily as a family. As for the price; I think such a place has a very good tariff for such a view.
CG,"When we asked for a hamburger, we were told that it was not left; but the hamburger came to the side table; I'm breaking two points from here; other than that it was good."
CG,"Service, attention is excellent. The masters working in the kitchen love their job. Dining halls and sinks are very stylish; organized and hygienic."
CG,The presentation was very successful; the employees were very interested and thoughtful and everything was delicious. We thank you.
CG,Food service was also very fast. I ate a delicious Lokum meat. Then I ate an unbelievably good burger.
OR,The most successful steak restaurant in the region. It is also a world brand. With its carefully selected meats and cooking technique; it gives the price you what you pay.
CG,Prices are so high..
CG,I do not recommend the lamb cage at all. But skewered and tenderloin are great. My carrot slice isn't bad. The waiters are interested and polite; but there are difficulties in understanding the order. You would like it cooked well; it comes undercooked.
CG,We've been here many times and each time we left satisfied; Lokum meat; spaghetti; nusret hamburger; salad with tulum cheese; etc. very good but of course high in price compared to many places.
OR,It's as if your old meticulousness is gone. The cage arrived cold; the salad came for 1; I said two; I did not drink alcohol; but 6 double raki was written in my account; when I told the waiter; he said are you sure you didn't drink?
OR,There is a queue at the door; there are wonderful places in Sarıyer. I came with the force of my friends; the music chosen is similar to the music played in Italian pizzeria.
CG,He's very successful. Even though it was very crowded; the service was incredibly fast.
OR,By the lake; with a beautiful view; ducks are swimming next to you. 1 pan of squid; 1 portion of sea bass; 1 salad; 2 50 sized tuborgs; 2 tea 80 TL.
CG,The presentations are very good; it obviously has a skilled and attentive chef. Fish and squid are fresh.
OR,DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!
